,WMO,PROF,JULD,LON,LAT,PRES,PRES_ERROR,TEMP,TEMP_ERROR,PSAL,PSAL_ERROR,DOXY,DOXY_ERROR,DEPTH,SIGMA0,THETA0,DOY,DOY_SIN,DOY_COS,YEAR,BATH
232,6903549,17,2019-10-02 11:19:00.000000256,-4.256365,68.70123833333334,553.0,2.4000000953674316,0.2669999897480011,0.0020000000949949026,34.90599822998047,0.009999999776482582,292.7979431152344,17.036828994750977,546.713690310471,1028.019473136038,0.24348696984546372,275,-0.999832969770105,0.018276557681691223,2019,3588.0
233,6903549,17,2019-10-02 11:19:00.000000256,-4.256365,68.70123833333334,641.0,2.4000000953674316,0.05000000074505806,0.0020000000949949026,34.904998779296875,0.009999999776482582,293.5594482421875,16.975053787231445,633.5794012884636,1028.0310703175903,0.0234284773279577,275,-0.999832969770105,0.018276557681691223,2019,3588.0
234,6903549,17,2019-10-02 11:19:00.000000256,-4.256365,68.70123833333334,715.0,2.4000000953674316,-0.09399999678134918,0.0020000000949949026,34.90599822998047,0.009999999776482582,293.3092041015625,16.906234741210938,706.5973119452133,1028.0397998286555,-0.12323766973130489,275,-0.999832969770105,0.018276557681691223,2019,3588.0
235,6903549,17,2019-10-02 11:19:00.000000256,-4.256365,68.70123833333334,983.0,2.4000000953674316,-0.39100000262260437,0.0020000000949949026,34.90599822998047,0.009999999776482582,292.7676086425781,16.565019607543945,970.825479729183,1028.055652321047,-0.4310931987823012,275,-0.999832969770105,0.018276557681691223,2019,3588.0
236,6903549,17,2019-10-02 11:19:00.000000256,-4.256365,68.70123833333334,1247.699951171875,2.4000000953674316,-0.5699999928474426,0.0020000000949949026,34.904998779296875,0.009999999776482582,291.346923828125,16.185894012451172,1231.471226760607,1028.0640624046518,-0.6219842123780334,275,-0.999832969770105,0.018276557681691223,2019,3588.0
237,6903549,18,2019-10-07 11:15:00.000000000,-4.15512,68.655865,8.399999618530273,2.4000000953674316,8.227999687194824,0.0020000000949949026,34.9739990234375,0.009999999776482582,277.76275634765625,14.943163871765137,8.315468036527486,1027.2213862256258,8.22714385007081,280,-0.9945667569706337,0.1041007489354256,2019,3613.0
238,6903549,18,2019-10-07 11:15:00.000000000,-4.15512,68.655865,30.899999618530273,2.4000000953674316,8.229999542236328,0.0020000000949949026,34.9739990234375,0.009999999776482582,277.2869873046875,14.910192489624023,30.587373607616854,1027.2216996503414,8.226846299663833,280,-0.9945667569706337,0.1041007489354256,2019,3613.0
239,6903549,18,2019-10-07 11:15:00.000000000,-4.15512,68.655865,35.099998474121094,2.4000000953674316,8.229000091552734,0.0020000000949949026,34.9739990234375,0.009999999776482582,277.08074951171875,14.904524803161621,34.74452549681644,1027.221952182453,8.225417558679492,280,-0.9945667569706337,0.1041007489354256,2019,3613.0
240,6903549,18,2019-10-07 11:15:00.000000000,-4.15512,68.655865,71.0999984741211,2.4000000953674316,7.0920000076293945,0.0020000000949949026,35.08300018310547,0.009999999776482582,270.2423095703125,15.21437931060791,70.3737918674205,1027.474730877966,7.085324143561208,280,-0.9945667569706337,0.1041007489354256,2019,3613.0
241,6903549,18,2019-10-07 11:15:00.000000000,-4.15512,68.655865,84.9000015258789,2.4000000953674316,6.64300012588501,0.0020000000949949026,35.04199981689453,0.009999999776482582,272.8424072265625,15.349761009216309,84.03003161439464,1027.5044384553757,6.6353170838951385,280,-0.9945667569706337,0.1041007489354256,2019,3613.0
242,6903549,18,2019-10-07 11:15:00.000000000,-4.15512,68.655865,119.0,2.4000000953674316,5.802999973297119,0.0020000000949949026,34.974998474121094,0.009999999776482582,278.8953552246094,15.598681449890137,117.77087379001044,1027.561402556031,5.792986369888649,280,-0.9945667569706337,0.1041007489354256,2019,3613.0
243,6903549,18,2019-10-07 11:15:00.000000000,-4.15512,68.655865,145.0,2.4000000953674316,5.014999866485596,0.0020000000949949026,34.91899871826172,0.009999999776482582,283.9313049316406,15.844959259033203,143.49328761093693,1027.6126053580317,5.003677590668526,280,-0.9945667569706337,0.1041007489354256,2019,3613.0
244,6903549,18,2019-10-07 11:15:00.000000000,-4.15512,68.655865,275.0,2.4000000953674316,3.558000087738037,0.0020000000949949026,34.95500183105469,0.009999999776482582,288.0695495605469,16.17327117919922,272.05687807351666,1027.7992783663976,3.5394239872214603,280,-0.9945667569706337,0.1041007489354256,2019,3613.0
245,6903549,19,2019-10-12 11:16:00.000000000,-4.865553333333334,68.44149833333333,13.0,2.4000000953674316,7.889999866485596,0.0020000000949949026,34.99399948120117,0.009999999776482582,278.33758544921875,15.043619155883789,12.869207152782568,1027.2880413033292,7.888707592428833,285,-0.981947190186646,0.18915526872004093,2019,3512.0
246,6903549,19,2019-10-12 11:16:00.000000000,-4.865553333333334,68.44149833333333,35.099998474121094,2.4000000953674316,7.89300012588501,0.0020000000949949026,34.99399948120117,0.009999999776482582,278.16278076171875,15.010632514953613,34.744994078036434,1027.2882359604498,7.889505068597346,285,-0.981947190186646,0.18915526872004093,2019,3512.0
247,6903549,19,2019-10-12 11:16:00.000000000,-4.865553333333334,68.44149833333333,57.099998474121094,2.4000000953674316,7.894999980926514,0.0020000000949949026,34.99399948120117,0.009999999776482582,276.6965637207031,14.978131294250488,56.51946740804384,1027.2884318134174,7.889305156032038,285,-0.981947190186646,0.18915526872004093,2019,3512.0
248,6903549,19,2019-10-12 11:16:00.000000000,-4.865553333333334,68.44149833333333,85.0,2.4000000953674316,6.9770002365112305,0.0020000000949949026,35.06999969482422,0.009999999776482582,270.81475830078125,15.232665061950684,84.13011960589512,1027.4807540602874,6.969087363866057,285,-0.981947190186646,0.18915526872004093,2019,3512.0
249,6903549,19,2019-10-12 11:16:00.000000000,-4.865553333333334,68.44149833333333,109.0,2.4000000953674316,6.257999897003174,0.0020000000949949026,35.00600051879883,0.009999999776482582,275.476806640625,15.451817512512207,107.87823053195544,1027.5275014883134,6.248446354226196,285,-0.981947190186646,0.18915526872004093,2019,3512.0
250,6903549,19,2019-10-12 11:16:00.000000000,-4.865553333333334,68.44149833333333,167.10000610351562,2.4000000953674316,4.8420000076293945,0.0020000000949949026,34.91999816894531,0.009999999776482582,284.8132019042969,15.870450973510742,165.35703150572257,1027.6335575544053,4.829151952615133,285,-0.981947190186646,0.18915526872004093,2019,3512.0
251,6903549,19,2019-10-12 11:16:00.000000000,-4.865553333333334,68.44149833333333,191.0,2.4000000953674316,4.513999938964844,0.0020000000949949026,34.92499923706055,0.009999999776482582,285.8837585449219,15.954946517944336,188.9967983575885,1027.67459660181,4.499773618561002,285,-0.981947190186646,0.18915526872004093,2019,3512.0
